Station	ObsDate	Level (m)	MeanDischarge (ml/d)	Discharge (ml/d)	Temp ( C )	EC @ 25C (us/cm)
409204C	1-Jan-09	1.196	5876.087	5873.837	23.217	57.583
219018	1-Jan-09	0.219	1.996	1.731
409017	1-Jan-09	2.552	9615.444	9689.209	21.072	46.104
409204C	2-Jan-09	1.19	5835.842	5795.7	23.167	58
219018	2-Jan-09	0.208	1.406	1.273
409017	2-Jan-09	2.558	9694.446	9749.228	21.219	45.865
409204C	3-Jan-09	1.184	5794.465	5782.514	22.775	57.583
219018	3-Jan-09	0.201	1.096	1.166
409017	3-Jan-09	2.543	9518.819	8279.382	21.023	45.052
409204C	4-Jan-09	1.179	5759.608	5730.083	22.875	56.583
219018	4-Jan-09	0.198	0.96	0.989
409017	4-Jan-09	2.442	8322.135	8604.148	21.496	46.406
409204C	5-Jan-09	1.173	5720.694	5710.436	23.233	56.583
219018	5-Jan-09	0.195	0.852	0.94
409017	5-Jan-09	2.478	8746.874	8676.057	22.052	47.646
409204C	6-Jan-09	1.16	5634.963	5605.041	23.807	57.51
219018	6-Jan-09	0.191	0.706	0.724
409017	6-Jan-09	2.468	8622.648	8676.057	22.079	47.875
409204C	7-Jan-09	1.149	5564.604	5531.891	24.342	58.917
219018	7-Jan-09	0.194	0.795	0.915
409017	7-Jan-09	2.492	8909.587	9380.974	22.055	48.333
409204C	8-Jan-09	1.139	5498.776	5452.358	24.742	59.333
219018	8-Jan-09	0.186	0.579	0.552
409017	8-Jan-09	2.526	9312.978	9252.527	22.12	48.823
409204C	9-Jan-09	1.124	5396.04	5325.046	24.417	59.167
219018	9-Jan-09	0.19	0.661	0.61
409017	9-Jan-09	2.515	9177.221	9183.041	21.732	48.932
409204C	10-Jan-09	1.104	5264.306	5217.446	23.955	58.99
219018	10-Jan-09	0.181	0.431	0.399
409017	10-Jan-09	2.545	9540.767	10102.03	21.713	48.349
409204C	11-Jan-09	1.094	5194.897	5149.761	24.375	59
219018	11-Jan-09	0.178	0.354	0.409
409017	11-Jan-09	2.591	10092.65	10076.58	21.8	49.104
409204C	12-Jan-09	1.082	5115.996	5068.527	24.608	58.917
219018	12-Jan-09	0.184	0.498	0.498
409017	12-Jan-09	2.595	10133.16	10102.03	22.237	49.729
409204C	13-Jan-09	1.056	4941.781	4870.048	24.9	59.063
219018	13-Jan-09	0.185	0.515	0.552
409017	13-Jan-09	2.587	10042.89	10052.67	23.021	51.104
409204C	14-Jan-09	1.043	4848.959	4842.284	25.509	63.375
219018	14-Jan-09	0.179	0.399	0.393
409017	14-Jan-09	2.586	10030.66	10028.78	23.31	52.063
409204C	15-Jan-09	1.036	4804.328	4759.556	26.058	63.417
219018	15-Jan-09	0.167	0.198	0.089
409017	15-Jan-09	2.593	10112.89	10114.02	23.426	52.562
409204C	16-Jan-09	1.018	4676.125	4599.231	25.644	64.854
219018	16-Jan-09	0.154	0.066	0
409017	16-Jan-09	2.607	10265.58	10708.28	22.666	51.427
409204C	17-Jan-09	0.995	4528.845	4471.516	24.846	67.958
219018	17-Jan-09	0.115	0	0
409017	17-Jan-09	2.65	10747.68	10317.29	22.238	50.125
409204C	18-Jan-09	0.976	4421.733	4370.791	24.2	71
219018	18-Jan-09	0.078	0	0
409017	18-Jan-09	2.622	10432.47	10708.28	22.438	50.63
409204C	19-Jan-09	0.951	4290.13	4185.903	24.529	72.542
219018	19-Jan-09	0.047	0	0
